year,district,discode,total_salary,avg_salary,n_FTE,avgCPI,adjust97,adjust21
1997,Danvers,710000,10769103,44834,240.2,164.7666667,44834.00907,75899.07316
1997,Dartmouth,720000,10552998,35460,297.6,164.7666667,35460.00717,60029.91333
1997,Dedham,730000,9288847,41974,221.3,164.7666667,41974.00849,71057.40503
1997,Deerfield,740000,1229784,41268,29.8,164.7666667,41268.00835,69862.22401
1997,Dennis-Yarmouth,6450000,12400286,43282,286.5,164.7666667,43282.00876,73271.7064
1997,Dighton-Rehoboth,6500000,7778552,38622,201.4,164.7666667,38622.00781,65382.83454
1997,Douglas,770000,2943726,38733,76,164.7666667,38733.00784,65570.74543
1997,Dover,780000,1393259,44090,31.6,164.7666667,44090.00892,74639.56229
1997,Dover-Sherborn,6550000,3935624,52615,74.8,164.7666667,52615.01064,89071.4577
1997,Dracut,790000,9605729,44266,217,164.7666667,44266.00896,74937.5111
1997,Dudley-Charlton Reg,6580000,9068315,41983,216,164.7666667,41983.00849,71072.64104
1997,Duxbury,820000,8710544,48419,179.9,164.7666667,48419.0098,81968.08724
1997,East Bridgewater,830000,5724969,44867,127.6,164.7666667,44867.00908,75954.93856
1997,East Longmeadow,870000,6514281,38410,169.6,164.7666667,38410.00777,65023.94165
1997,Eastham,850000,991724,36327,27.3,164.7666667,36327.00735,61497.64979
1997,Easthampton,860000,4976261,39183,127,164.7666667,39183.00793,66332.54636
1997,Easton,880000,8988486,42399,212,164.7666667,42399.00858,71776.88368
1997,Edgartown,890000,1403822,43733,32.1,164.7666667,43733.00885,74035.20022
1997,Erving,910000,581530,38008,15.3,164.7666667,38008.00769,64343.39949
1997,Essex,920000,1016660,42897,23.7,164.7666667,42897.00868,72619.94338
1997,Essex County,9130000,2710543,40456,67,164.7666667,40456.00818,68487.59655
1997,Everett,930000,13543217,39370,344,164.7666667,39370.00796,66649.11697
1997,Fairhaven,940000,5665059,40235,140.8,164.7666667,40235.00814,68113.46765
1997,Fall River,950000,33616220,39089,860,164.7666667,39089.00791,66173.41461
1997,Falmouth,960000,13586635,45093,301.3,164.7666667,45093.00912,76337.53192
1997,Farmington River Reg,6620000,666527,38978,17.1,164.7666667,38978.00789,65985.50372
1997,Fitchburg,970000,13793242,38421,359,164.7666667,38421.00777,65042.56346
1997,Florida,980000,354157,27669,12.8,164.7666667,27669.0056,46840.59989
1997,Foxborough,990000,7760953,44323,175.1,164.7666667,44323.00897,75034.00588
1997,Framingham,1000000,26813328,37138,722,164.7666667,37138.00751,62870.58436
1997,Franklin,1010000,12304879,40199,306.1,164.7666667,40199.00813,68052.52358
1997,Franklin County Regional Vocational Technical,8180000,2235351,39564,56.5,164.7666667,39564.008,66977.53782
1997,Freetown,1020000,1025300,37557,27.3,164.7666667,37557.0076,63579.90567
1997,Freetown-Lakeville,6650000,4897307,41538,117.9,164.7666667,41538.0084,70319.30457
1997,Frontier,6700000,1828893,38261,47.8,164.7666667,38261.00774,64771.7009
1997,Gardner,1030000,6571077,36916,178,164.7666667,36916.00747,62494.76257
1997,Gateway,6720000,4508505,34155,132,164.7666667,34155.00691,57820.69063
1997,Georgetown,1050000,3414671,37360,91.4,164.7666667,37360.00756,63246.40615
1997,Gill-Montague,6740000,4472000,33853,132.1,164.7666667,33853.00685,57309.43756
1997,Gloucester,1070000,11092058,37715,294.1,164.7666667,37715.00763,63847.38244
1997,Grafton,1100000,5454855,40708,134,164.7666667,40708.00824,68914.20507
1997,Granby,1110000,2397988,37236,64.4,164.7666667,37236.00753,63036.48767
